,nombres,edades,generos,ciudades,hijos,mascotas,vehiculos,salario
81,persona_81,65,M,Cota,3,10,2,4876
82,persona_82,27,F,Chía,3,9,0,2859
83,persona_83,59,F,Bogotá,1,9,1,1947
84,persona_84,70,M,Zipaquirá,2,6,2,4525
85,persona_85,23,F,Cota,0,4,0,6168
86,persona_86,60,F,Bogotá,3,4,1,2053
87,persona_87,30,M,Chía,0,1,1,5999
88,persona_88,40,M,Chía,0,0,2,4606
89,persona_89,29,F,Zipaquirá,0,0,2,3753
90,persona_90,38,M,Cajicá,3,0,0,5929
91,persona_91,62,M,Cajicá,1,2,1,1165
92,persona_92,61,M,Cota,0,6,1,5266
93,persona_93,21,F,Bogotá,1,8,0,1772
94,persona_94,44,M,Bogotá,3,6,0,3704
95,persona_95,68,M,Zipaquirá,2,9,1,5180
96,persona_96,22,F,Chía,1,4,0,3331
97,persona_97,52,F,Chía,0,4,1,3587
98,persona_98,26,F,Chía,0,9,0,4808
99,persona_99,25,M,Cota,2,5,2,6121
100,persona_100,54,M,Cajicá,0,10,1,3450
101,persona_101,65,M,Cajicá,1,9,2,5213
102,persona_102,36,M,Bogotá,1,1,0,3336
103,persona_103,46,M,Zipaquirá,2,4,0,2928
104,persona_104,26,F,Cota,1,9,0,5130
105,persona_105,26,M,Chía,0,8,2,5641
106,persona_106,20,F,Bogotá,0,10,1,4854
107,persona_107,31,F,Cajicá,2,10,0,4029
108,persona_108,61,F,Zipaquirá,2,4,2,5877
109,persona_109,64,M,Cota,3,1,1,1928
110,persona_110,23,M,Bogotá,3,3,1,2428
111,persona_111,33,F,Cajicá,2,9,1,1836
112,persona_112,21,M,Cota,0,1,1,4787
113,persona_113,68,M,Cajicá,2,10,1,4734
114,persona_114,29,F,Chía,3,7,0,4035
115,persona_115,53,F,Bogotá,3,7,2,1836
116,persona_116,25,M,Cota,1,3,2,6894
117,persona_117,41,F,Chía,0,3,1,2208
118,persona_118,42,M,Cota,1,1,0,5233
119,persona_119,21,F,Cota,3,1,2,992
120,persona_120,46,F,Cajicá,3,3,1,2955
121,persona_121,32,F,Bogotá,1,0,1,5895
122,persona_122,68,M,Bogotá,2,3,1,2735
123,persona_123,23,F,Cota,3,5,0,2829
124,persona_124,60,M,Cajicá,2,1,0,1260
125,persona_125,57,M,Zipaquirá,3,4,2,4693
126,persona_126,66,M,Cajicá,3,9,1,5623
127,persona_127,70,F,Bogotá,1,9,2,3268
128,persona_128,25,M,Cota,2,6,0,2590
129,persona_129,33,M,Cajicá,0,8,0,5634
130,persona_130,57,M,Bogotá,3,3,0,1235
131,persona_131,57,F,Zipaquirá,2,3,2,3726
132,persona_132,59,F,Cajicá,3,4,0,1668
133,persona_133,68,M,Chía,3,2,2,5369
134,persona_134,44,F,Chía,1,4,1,5197
135,persona_135,24,M,Bogotá,3,6,1,4737
136,persona_136,21,M,Cota,0,3,0,6002
137,persona_137,43,F,Bogotá,0,2,2,3414
138,persona_138,60,M,Cajicá,0,10,2,3344
139,persona_139,64,M,Cota,1,6,2,4204
140,persona_140,58,M,Bogotá,1,7,0,1163
141,persona_141,63,F,Cota,0,2,1,5610
142,persona_142,54,M,Zipaquirá,1,5,0,2630
143,persona_143,51,F,Chía,0,5,1,1987
144,persona_144,32,M,Zipaquirá,1,9,2,5500
145,persona_145,20,F,Bogotá,3,8,0,3085
146,persona_146,55,F,Cota,3,10,1,5253
147,persona_147,22,M,Cajicá,3,0,0,1144
148,persona_148,61,F,Zipaquirá,2,10,1,6101
149,persona_149,38,F,Bogotá,2,0,1,5276
150,persona_150,56,M,Bogotá,0,6,1,4091
151,persona_151,23,M,Zipaquirá,0,2,2,1959
152,persona_152,20,M,Bogotá,2,0,2,1957
153,persona_153,32,M,Zipaquirá,3,4,0,3808
154,persona_154,26,F,Cota,2,7,0,3647
155,persona_155,67,M,Cota,2,1,1,2914
156,persona_156,53,M,Bogotá,3,10,0,2055
157,persona_157,31,M,Cajicá,2,10,0,4469
158,persona_158,24,F,Bogotá,2,1,1,3044
159,persona_159,31,F,Chía,0,6,2,6642
160,persona_160,21,M,Chía,0,5,2,5178
161,persona_161,51,F,Chía,3,9,0,6791
162,persona_162,58,M,Cota,0,5,1,5939
163,persona_163,70,F,Cajicá,1,4,0,5113
164,persona_164,26,F,Zipaquirá,3,0,2,1525
165,persona_165,25,M,Zipaquirá,1,6,2,6966
166,persona_166,33,F,Zipaquirá,1,9,0,3629
167,persona_167,58,M,Bogotá,0,0,1,4164
168,persona_168,28,F,Cota,2,8,1,6772
169,persona_169,41,M,Cajicá,2,10,1,5964
170,persona_170,45,M,Bogotá,2,7,2,1001
171,persona_171,54,M,Cota,2,2,1,1120
172,persona_172,32,M,Zipaquirá,1,1,1,1482
173,persona_173,25,F,Chía,0,2,1,1608
174,persona_174,53,F,Cota,1,10,1,3424
175,persona_175,31,F,Chía,1,6,2,6059
176,persona_176,64,F,Cota,2,2,0,5006
177,persona_177,60,M,Cota,2,6,1,6929
178,persona_178,61,F,Cajicá,2,1,1,4470
179,persona_179,66,M,Cajicá,1,1,0,981
180,persona_180,22,M,Chía,1,1,0,4425
181,persona_181,34,F,Bogotá,2,9,1,3965
182,persona_182,36,M,Zipaquirá,3,9,1,1451
183,persona_183,51,M,Zipaquirá,3,2,0,6137
184,persona_184,20,F,Chía,2,0,2,4851
185,persona_185,56,M,Bogotá,3,9,1,1373
186,persona_186,52,M,Cajicá,0,9,2,4967
187,persona_187,30,M,Zipaquirá,3,4,0,3855
188,persona_188,49,M,Cajicá,0,3,1,1628
189,persona_189,41,F,Zipaquirá,2,8,1,6976
190,persona_190,25,M,Cota,3,0,2,6282
191,persona_191,50,M,Cajicá,2,0,0,1293
192,persona_192,28,M,Cajicá,0,5,1,4100
193,persona_193,32,M,Cajicá,2,8,2,1079
194,persona_194,58,M,Zipaquirá,3,0,1,4127
195,persona_195,65,M,Chía,1,0,1,2923
196,persona_196,66,M,Chía,0,2,2,2912
197,persona_197,50,F,Zipaquirá,0,4,0,3237
198,persona_198,65,F,Chía,1,3,2,3863
199,persona_199,50,F,Bogotá,2,4,0,4484
200,persona_200,36,F,Cajicá,3,4,2,3911
201,persona_201,25,F,Zipaquirá,0,10,1,3626
202,persona_202,53,M,Bogotá,0,5,0,4467
203,persona_203,53,M,Cota,0,5,0,1505
204,persona_204,51,F,Bogotá,3,7,1,3055
205,persona_205,47,M,Bogotá,3,9,1,5015
206,persona_206,60,F,Zipaquirá,1,4,0,3767
207,persona_207,68,M,Cota,0,0,2,1070
208,persona_208,68,F,Chía,2,0,1,1098
209,persona_209,30,F,Chía,0,9,1,6131
210,persona_210,65,F,Zipaquirá,1,6,2,6427
211,persona_211,38,F,Bogotá,2,1,0,6106
212,persona_212,41,F,Cota,1,9,1,905
213,persona_213,43,F,Bogotá,3,3,2,6758
214,persona_214,44,F,Cajicá,2,9,0,6462
215,persona_215,26,M,Chía,0,8,0,2372
216,persona_216,29,M,Zipaquirá,0,1,2,6714
217,persona_217,32,F,Chía,2,7,0,1812
218,persona_218,49,M,Cota,3,6,0,3751
219,persona_219,58,F,Chía,0,6,1,2848
220,persona_220,45,M,Cota,2,4,0,4670
221,persona_221,53,M,Cota,0,3,2,5510
222,persona_222,23,M,Chía,2,2,0,5293
223,persona_223,39,M,Bogotá,3,7,2,3920
224,persona_224,44,M,Cota,3,8,0,4594
225,persona_225,49,M,Cota,2,9,1,5106
226,persona_226,24,F,Cota,2,5,2,4037
227,persona_227,62,M,Cota,1,9,2,1530
228,persona_228,66,F,Zipaquirá,0,8,2,6572
229,persona_229,43,M,Bogotá,0,9,2,5638
230,persona_230,36,M,Zipaquirá,3,0,2,5764
231,persona_231,45,F,Cajicá,1,10,2,1990
232,persona_232,37,M,Zipaquirá,2,2,2,2050
233,persona_233,49,F,Zipaquirá,1,3,0,5320
234,persona_234,61,F,Bogotá,0,6,0,4887
235,persona_235,63,F,Cajicá,2,2,2,4243
236,persona_236,58,M,Zipaquirá,2,1,2,4819
237,persona_237,49,F,Zipaquirá,3,10,1,5909
238,persona_238,56,F,Bogotá,3,5,1,1609
239,persona_239,44,M,Cota,3,0,2,6158
240,persona_240,37,F,Bogotá,0,1,1,4748
241,persona_241,39,F,Bogotá,0,2,1,5887
242,persona_242,32,F,Cota,2,7,1,4994
243,persona_243,51,M,Bogotá,1,0,2,5393
244,persona_244,43,M,Bogotá,3,3,2,2019
245,persona_245,51,F,Cota,1,7,2,2913
246,persona_246,29,M,Cajicá,2,1,1,1970
247,persona_247,42,F,Chía,1,4,1,1189
248,persona_248,25,M,Bogotá,3,7,1,3218
249,persona_249,70,M,Cota,2,2,0,2825
250,persona_250,46,M,Cajicá,0,4,1,6988
251,persona_251,45,F,Cota,2,10,1,3646
252,persona_252,42,F,Cota,0,10,1,1674
253,persona_253,22,M,Cajicá,1,10,2,5765
254,persona_254,55,F,Bogotá,2,8,1,3708
255,persona_255,21,M,Cajicá,0,5,0,3374
256,persona_256,48,M,Zipaquirá,0,0,0,1548
257,persona_257,32,M,Cota,0,4,2,3322
258,persona_258,62,F,Chía,3,3,0,1348
259,persona_259,47,M,Zipaquirá,1,5,1,4077
260,persona_260,65,M,Cajicá,2,10,1,5858
261,persona_261,69,F,Chía,3,2,0,4576
262,persona_262,33,M,Zipaquirá,2,6,1,6689
263,persona_263,33,F,Bogotá,1,3,1,5751
264,persona_264,54,F,Cota,2,10,0,4755
265,persona_265,26,M,Zipaquirá,2,7,0,3066
266,persona_266,48,F,Zipaquirá,0,7,0,2305
267,persona_267,28,M,Chía,3,2,1,5191
268,persona_268,56,M,Zipaquirá,2,3,2,2927
269,persona_269,49,M,Chía,2,4,1,3252
270,persona_270,32,F,Cota,2,9,0,4659
271,persona_271,36,M,Cajicá,1,8,2,4241
272,persona_272,62,M,Zipaquirá,1,3,1,6169
273,persona_273,51,M,Chía,0,5,2,5367
274,persona_274,38,M,Cajicá,0,4,2,1339
275,persona_275,29,F,Bogotá,0,4,1,5368
276,persona_276,57,F,Cajicá,3,9,0,2256
277,persona_277,63,M,Bogotá,3,2,1,1164
278,persona_278,52,M,Cajicá,1,7,2,2144
279,persona_279,40,M,Cajicá,1,0,0,1328
280,persona_280,53,M,Cota,3,8,1,4249
281,persona_281,67,F,Bogotá,0,7,0,3678
282,persona_282,39,M,Cajicá,3,5,0,5328
283,persona_283,48,M,Bogotá,0,4,1,5624
284,persona_284,63,F,Cajicá,0,0,1,5522
285,persona_285,43,F,Bogotá,0,9,1,3924
286,persona_286,32,M,Zipaquirá,3,5,2,5271
287,persona_287,46,M,Cajicá,3,7,1,4006
288,persona_288,67,F,Cajicá,2,6,1,2909
289,persona_289,38,F,Bogotá,0,4,0,3998
290,persona_290,30,M,Chía,3,2,2,6776
291,persona_291,38,M,Zipaquirá,2,2,0,1561
292,persona_292,40,M,Zipaquirá,3,1,1,6906
293,persona_293,57,M,Zipaquirá,0,2,2,3106
294,persona_294,49,M,Bogotá,0,6,1,6937
295,persona_295,61,M,Cajicá,1,7,2,1408
296,persona_296,44,F,Cajicá,3,3,0,1257
297,persona_297,38,M,Chía,0,2,2,4235
298,persona_298,47,F,Cajicá,1,3,2,962
299,persona_299,29,M,Bogotá,1,9,1,2299
300,persona_300,35,M,Bogotá,3,3,2,5479
301,persona_301,35,F,Cajicá,0,7,2,3198
302,persona_302,69,F,Zipaquirá,0,4,2,2490
303,persona_303,61,M,Zipaquirá,1,10,0,6222
304,persona_304,63,F,Chía,2,7,0,2588
305,persona_305,61,M,Cota,1,6,0,2404
306,persona_306,39,M,Bogotá,1,6,2,1640
307,persona_307,30,F,Chía,1,5,2,5177
308,persona_308,53,M,Zipaquirá,3,6,2,5209
309,persona_309,53,M,Bogotá,1,7,0,1245
310,persona_310,59,M,Chía,0,0,1,4598
311,persona_311,22,M,Chía,1,0,1,1861
312,persona_312,43,F,Cajicá,2,1,0,2968
313,persona_313,57,F,Bogotá,0,6,1,4389
314,persona_314,24,F,Cota,0,0,1,1575
315,persona_315,58,F,Cajicá,1,4,0,4720
316,persona_316,31,F,Cajicá,0,0,2,3710
317,persona_317,49,F,Bogotá,3,3,1,4561
318,persona_318,59,F,Zipaquirá,0,5,0,1959
319,persona_319,20,F,Cota,1,4,1,6804
320,persona_320,66,F,Cajicá,0,10,1,6541
321,persona_321,66,F,Chía,1,3,1,4640
322,persona_322,20,F,Bogotá,2,5,0,5043
323,persona_323,27,M,Zipaquirá,1,4,1,5825
324,persona_324,23,M,Cota,3,9,0,4157
325,persona_325,26,F,Bogotá,0,5,1,6384
326,persona_326,60,M,Bogotá,1,8,2,3323
327,persona_327,37,M,Bogotá,3,3,0,6434
328,persona_328,21,F,Cajicá,3,2,1,2923
329,persona_329,28,F,Zipaquirá,0,8,1,1965
330,persona_330,23,F,Bogotá,1,8,1,3575
331,persona_331,49,F,Cota,3,0,2,6479
332,persona_332,32,F,Cota,3,7,0,5232
333,persona_333,28,M,Cota,0,2,2,3896
334,persona_334,57,F,Chía,2,1,0,2392
335,persona_335,56,F,Cota,3,5,1,5774
336,persona_336,38,M,Cajicá,3,5,2,1376
337,persona_337,27,M,Cajicá,3,6,1,4010
338,persona_338,52,M,Chía,0,3,0,952
339,persona_339,37,M,Bogotá,0,6,1,2755
340,persona_340,36,F,Cajicá,2,6,0,6530
341,persona_341,64,F,Cota,3,1,0,1119
342,persona_342,20,M,Chía,3,2,2,6216
343,persona_343,23,M,Cota,0,5,1,6621
344,persona_344,29,M,Cajicá,1,9,0,5971
345,persona_345,65,F,Cajicá,3,8,1,3000
346,persona_346,52,M,Zipaquirá,1,3,2,4844
347,persona_347,23,F,Cota,0,8,0,2698
348,persona_348,35,F,Cota,3,4,2,5364
349,persona_349,43,M,Zipaquirá,1,1,1,2698
350,persona_350,64,M,Cota,3,4,0,5225
351,persona_351,50,M,Chía,2,2,1,2148
352,persona_352,40,M,Cajicá,0,10,1,6519
353,persona_353,29,M,Bogotá,0,6,0,5460
354,persona_354,60,F,Cajicá,2,4,0,6242
355,persona_355,67,M,Cajicá,3,6,1,1241
356,persona_356,54,F,Chía,1,7,2,5601
357,persona_357,63,M,Cajicá,0,2,0,1408
358,persona_358,25,M,Bogotá,1,10,0,6739
359,persona_359,66,M,Chía,1,3,2,4303
360,persona_360,41,M,Cajicá,3,3,1,3113
361,persona_361,61,M,Cota,2,5,2,4993
362,persona_362,21,F,Bogotá,2,9,0,1250
363,persona_363,53,M,Cajicá,2,9,0,1339
364,persona_364,55,M,Bogotá,1,8,1,1635
365,persona_365,40,M,Chía,0,0,1,3459
366,persona_366,31,F,Cota,0,10,0,4430
367,persona_367,35,F,Cajicá,3,9,2,5809
368,persona_368,26,F,Bogotá,3,6,2,4251
369,persona_369,25,F,Bogotá,2,9,2,3158
370,persona_370,26,F,Bogotá,0,4,2,5756
371,persona_371,56,M,Bogotá,2,8,1,3398
372,persona_372,63,M,Chía,3,8,2,3353
373,persona_373,33,M,Bogotá,2,7,2,4346
374,persona_374,54,M,Zipaquirá,3,10,1,6707
375,persona_375,37,F,Cota,0,0,0,2292
376,persona_376,58,F,Cajicá,1,4,2,3536
377,persona_377,32,F,Bogotá,3,2,0,6366
378,persona_378,31,F,Chía,2,2,1,5163
379,persona_379,20,F,Zipaquirá,2,1,2,3368
380,persona_380,51,M,Cota,3,6,1,2672
381,persona_381,40,M,Zipaquirá,0,2,1,6922
382,persona_382,21,F,Zipaquirá,3,5,1,5505
383,persona_383,55,M,Bogotá,2,4,2,3784
384,persona_384,54,M,Cota,1,6,2,1171
385,persona_385,40,M,Cota,3,6,0,4606
386,persona_386,63,M,Bogotá,3,2,0,6046
387,persona_387,62,M,Cajicá,3,6,1,5833
388,persona_388,68,F,Cajicá,0,9,1,3724
389,persona_389,55,F,Chía,2,3,1,2974
390,persona_390,30,M,Cota,1,0,2,2888
391,persona_391,50,M,Cajicá,0,7,0,918
392,persona_392,43,F,Chía,2,10,1,2624
393,persona_393,54,F,Bogotá,2,4,2,2105
394,persona_394,35,M,Chía,2,4,0,1110
395,persona_395,27,M,Chía,2,0,1,3053
396,persona_396,30,M,Chía,1,8,1,1507
397,persona_397,45,M,Cota,3,10,1,6279
398,persona_398,63,F,Chía,2,10,2,2834
399,persona_399,39,M,Bogotá,1,5,2,1388
400,persona_400,48,M,Chía,2,7,2,2148
401,persona_401,58,M,Cajicá,0,3,0,1171
402,persona_402,41,F,Cajicá,2,8,0,4603
403,persona_403,31,M,Cajicá,2,10,1,5780
404,persona_404,30,M,Bogotá,1,6,2,5987
405,persona_405,59,F,Chía,3,1,1,3441
406,persona_406,60,F,Cota,1,9,1,3465
407,persona_407,39,F,Chía,3,5,0,5926
408,persona_408,20,F,Zipaquirá,2,10,0,1152
409,persona_409,40,F,Chía,2,10,1,6747
410,persona_410,42,F,Zipaquirá,2,5,1,6860
411,persona_411,65,M,Chía,0,9,0,2902
412,persona_412,67,F,Cajicá,0,8,2,5849
413,persona_413,22,F,Bogotá,0,6,2,5592
414,persona_414,60,F,Cajicá,0,9,1,5751
415,persona_415,23,M,Cajicá,3,5,1,3217
416,persona_416,31,M,Cota,3,0,1,4905
417,persona_417,66,F,Chía,1,6,1,2427
418,persona_418,62,M,Cajicá,3,2,0,3973
419,persona_419,70,F,Bogotá,2,2,2,6105
420,persona_420,60,M,Bogotá,1,9,1,5911
421,persona_421,51,M,Bogotá,1,6,1,3058
422,persona_422,50,F,Zipaquirá,0,8,0,3073
423,persona_423,60,F,Zipaquirá,0,1,1,6690
424,persona_424,59,F,Zipaquirá,3,0,0,2972
425,persona_425,60,M,Cajicá,1,1,0,6969
426,persona_426,58,M,Cota,0,10,0,1543
427,persona_427,69,F,Bogotá,1,6,1,3019
428,persona_428,31,F,Cota,3,10,1,5202
429,persona_429,66,M,Chía,0,8,0,4427
430,persona_430,38,M,Zipaquirá,0,2,2,4088
431,persona_431,32,F,Chía,0,4,1,4391
432,persona_432,69,F,Cota,1,2,0,4678
433,persona_433,54,F,Zipaquirá,3,9,2,6142
434,persona_434,65,M,Bogotá,3,2,1,1562
435,persona_435,37,F,Cota,0,4,2,1668
436,persona_436,68,F,Bogotá,0,9,0,5219
437,persona_437,64,F,Zipaquirá,0,5,1,5071
438,persona_438,43,M,Cajicá,2,3,2,3894
439,persona_439,47,F,Bogotá,0,7,2,2448
440,persona_440,55,F,Cajicá,2,8,2,4962
441,persona_441,62,M,Chía,1,10,1,6426
442,persona_442,21,M,Zipaquirá,0,5,0,3587
443,persona_443,67,F,Cota,0,6,0,3049
444,persona_444,37,M,Cajicá,1,3,0,1976
445,persona_445,64,F,Cajicá,3,0,2,3843
446,persona_446,21,F,Cajicá,3,4,0,6327
447,persona_447,33,F,Chía,1,0,2,6537
448,persona_448,33,F,Bogotá,2,1,2,4599
449,persona_449,50,F,Chía,3,8,2,3608
450,persona_450,52,M,Bogotá,2,0,1,6856
451,persona_451,26,M,Zipaquirá,0,10,1,1967
452,persona_452,39,F,Zipaquirá,0,4,1,5673
453,persona_453,69,F,Bogotá,0,5,1,2604
454,persona_454,38,F,Zipaquirá,3,7,0,3981
455,persona_455,52,F,Zipaquirá,3,8,0,1773
456,persona_456,58,F,Chía,0,6,1,5324
457,persona_457,45,F,Chía,0,4,1,4041
458,persona_458,37,M,Zipaquirá,1,0,2,3068
459,persona_459,48,F,Cota,2,10,0,1611
460,persona_460,55,F,Cajicá,1,10,0,5981
461,persona_461,34,F,Bogotá,2,10,0,6280
462,persona_462,46,F,Chía,1,7,0,1033
463,persona_463,67,F,Cajicá,3,5,1,5861
464,persona_464,68,M,Cota,1,0,0,4821
465,persona_465,36,M,Cajicá,0,3,1,4623
466,persona_466,66,F,Cajicá,1,10,1,6544
467,persona_467,36,M,Cajicá,1,7,1,6012
468,persona_468,37,M,Cota,3,6,2,3499
469,persona_469,59,M,Zipaquirá,1,3,0,5003
470,persona_470,60,M,Bogotá,2,8,2,5828
471,persona_471,27,F,Cota,3,6,0,4329
472,persona_472,57,F,Bogotá,1,7,2,5915
473,persona_473,41,M,Cajicá,0,10,2,6536
474,persona_474,30,F,Zipaquirá,3,4,0,5718
475,persona_475,27,M,Cajicá,0,9,2,4328
476,persona_476,56,M,Bogotá,3,4,2,2850
477,persona_477,27,M,Cajicá,2,1,0,4820
478,persona_478,21,M,Zipaquirá,0,2,2,1498
479,persona_479,36,F,Cajicá,0,10,1,1917
480,persona_480,20,F,Chía,1,0,2,4897
481,persona_481,58,M,Chía,3,6,2,2739
482,persona_482,29,M,Zipaquirá,3,2,0,5999
483,persona_483,34,M,Cajicá,0,0,2,4173
484,persona_484,38,F,Chía,1,9,2,6302
485,persona_485,24,M,Chía,1,5,2,5155
486,persona_486,58,M,Bogotá,2,9,1,1338
487,persona_487,43,M,Zipaquirá,3,8,2,2140
488,persona_488,63,M,Cota,1,7,2,3625
489,persona_489,44,F,Cota,2,10,0,2569
490,persona_490,29,F,Cota,3,0,1,3489
491,persona_491,64,F,Cajicá,2,3,0,2103
492,persona_492,52,F,Cajicá,2,10,2,3974
493,persona_493,31,M,Bogotá,0,6,1,3704
494,persona_494,53,M,Cota,0,10,2,3132
495,persona_495,37,M,Zipaquirá,0,10,1,1174
496,persona_496,55,F,Bogotá,3,2,2,5717
497,persona_497,35,F,Chía,1,6,2,2531
498,persona_498,22,F,Cota,2,9,0,2812
499,persona_499,20,M,Cajicá,0,4,1,2140
500,persona_500,65,F,Bogotá,0,3,0,5520
501,persona_501,24,M,Bogotá,3,3,2,6071
502,persona_502,23,F,Cajicá,3,10,2,964
503,persona_503,24,M,Chía,0,4,1,5206
504,persona_504,56,M,Zipaquirá,0,1,1,3907
505,persona_505,21,M,Chía,2,1,0,6622
506,persona_506,61,F,Cota,0,7,2,1503
507,persona_507,57,F,Cota,0,4,2,4738
508,persona_508,33,M,Cota,3,8,0,5325
509,persona_509,63,F,Bogotá,3,5,1,4840
510,persona_510,60,F,Cota,1,5,1,6114
511,persona_511,40,M,Cajicá,3,0,2,1077
512,persona_512,25,F,Cota,0,4,1,1019
513,persona_513,28,F,Zipaquirá,3,6,2,5103
514,persona_514,24,F,Zipaquirá,1,5,1,4604
515,persona_515,65,F,Cota,2,3,1,1168
516,persona_516,67,M,Zipaquirá,0,3,1,2278
517,persona_517,65,M,Cota,3,9,0,5369
518,persona_518,44,M,Zipaquirá,1,10,2,6217
519,persona_519,65,F,Cajicá,0,7,2,5725
520,persona_520,48,M,Cajicá,3,6,0,5302
521,persona_521,29,M,Zipaquirá,1,9,1,6917
522,persona_522,60,F,Bogotá,3,3,0,4525
523,persona_523,45,F,Chía,1,1,0,2706
524,persona_524,40,M,Zipaquirá,3,7,1,4886
525,persona_525,70,M,Zipaquirá,0,3,1,2533
526,persona_526,49,M,Cota,1,0,0,3595
527,persona_527,57,M,Bogotá,1,3,1,6867
528,persona_528,26,M,Chía,1,5,2,2217
529,persona_529,39,M,Cajicá,0,10,0,3230
530,persona_530,25,M,Zipaquirá,3,2,2,4703
531,persona_531,34,M,Bogotá,3,10,2,1900
532,persona_532,45,M,Zipaquirá,1,5,0,4678
533,persona_533,43,F,Cajicá,0,7,2,6331
534,persona_534,61,M,Chía,2,7,0,5849
535,persona_535,67,F,Chía,0,2,0,4832
536,persona_536,63,F,Cajicá,2,3,0,2164
537,persona_537,68,F,Zipaquirá,2,6,1,2000
538,persona_538,26,M,Chía,3,2,1,2838
539,persona_539,28,M,Bogotá,3,10,2,4684
540,persona_540,28,M,Zipaquirá,1,9,0,3683
541,persona_541,33,M,Chía,2,10,2,6214
542,persona_542,70,M,Cajicá,0,5,2,6446
543,persona_543,26,F,Bogotá,0,5,2,3562
